date,open,high,low,close,adj_close,volume
2024-10-31,575.5599975585938,575.6300048828125,568.4400024414062,568.6400146484375,558.6289672851562,60182500
2024-11-01,571.3200073242188,575.5499877929688,570.6199951171875,571.0399780273438,560.9866943359375,45667500
2024-11-04,571.1799926757812,572.5,567.8900146484375,569.8099975585938,559.7783203125,38217000
2024-11-05,570.739990234375,576.739990234375,570.52001953125,576.7000122070312,566.5469970703125,39478300
2024-11-06,589.2000122070312,591.9299926757812,585.3900146484375,591.0399780273438,580.6346435546875,68182000
2024-11-07,593.0800170898438,596.6500244140625,593.0,595.6099853515625,585.1241455078125,47233200
2024-11-08,596.1699829101562,599.6400146484375,596.1699829101562,598.1900024414062,587.6587524414062,46444900
2024-11-11,599.8099975585938,600.1699829101562,597.0,598.760009765625,588.21875,37586800
2024-11-12,598.6799926757812,599.2899780273438,594.3699951171875,596.9000244140625,586.3914794921875,43006100
2024-11-13,597.3699951171875,599.22998046875,594.9600219726562,597.1900024414062,586.6763305664062,47388600
2024-11-14,597.3200073242188,597.8099975585938,592.6500244140625,593.3499755859375,582.9038696289062,38904100
2024-11-15,589.719970703125,590.2000122070312,583.8599853515625,585.75,575.437744140625,75988800
2024-11-18,586.219970703125,589.489990234375,585.3400268554688,588.1500244140625,577.7955322265625,37001700
2024-11-19,584.7100219726562,591.0399780273438,584.030029296875,590.2999877929688,579.9075927734375,49412000
2024-11-20,590.3800048828125,590.7899780273438,584.6300048828125,590.5,580.1041259765625,50032600
2024-11-21,593.4000244140625,595.1199951171875,587.4500122070312,593.6699829101562,583.2183227539062,46750300
2024-11-22,593.6599731445312,596.1500244140625,593.1500244140625,595.510009765625,585.02587890625,38226400
2024-11-25,599.52001953125,600.8599853515625,595.2000122070312,597.530029296875,587.0103149414062,42441400
2024-11-26,598.7999877929688,601.3300170898438,598.0700073242188,600.6500244140625,590.075439453125,45621300
2024-11-27,600.4600219726562,600.8499755859375,597.280029296875,598.8300170898438,588.2874145507812,34000200
2024-11-29,599.6599731445312,603.3499755859375,599.3800048828125,602.5499877929688,591.94189453125,30177400
2024-12-02,602.969970703125,604.3200073242188,602.469970703125,603.6300048828125,593.0029907226562,31746000
2024-12-03,603.3900146484375,604.1599731445312,602.3400268554688,603.9099731445312,593.2779541015625,26906600
2024-12-04,605.6300048828125,607.9099731445312,604.9500122070312,607.6599731445312,596.9619140625,42787600
2024-12-05,607.6599731445312,608.47998046875,606.2999877929688,606.6599731445312,595.9796142578125,28762200
2024-12-06,607.4400024414062,609.0700073242188,607.02001953125,607.8099975585938,597.109375,31241500
2024-12-09,607.6900024414062,607.8599853515625,604.0800170898438,604.6799926757812,594.034423828125,34742700
2024-12-10,605.3699951171875,605.7999877929688,602.1300048828125,602.7999877929688,592.1875,37234500
2024-12-11,605.780029296875,608.4299926757812,605.5,607.4600219726562,596.7655029296875,28677700
2024-12-12,606.5800170898438,607.1599731445312,604.3300170898438,604.3300170898438,593.690673828125,31543800
2024-12-13,606.4000244140625,607.1300048828125,602.8099975585938,604.2100219726562,593.57275390625,35904700
2024-12-16,606.0,607.780029296875,605.2100219726562,606.7899780273438,596.1073608398438,43695200
2024-12-17,604.1900024414062,605.1699829101562,602.8900146484375,604.2899780273438,593.6513061523438,55773500
2024-12-18,603.97998046875,606.4099731445312,585.8900146484375,586.280029296875,575.9584350585938,108248700
2024-12-19,591.3599853515625,593.0,585.8499755859375,586.0999755859375,575.7815551757812,85919500
2024-12-20,581.77001953125,595.75,580.9099731445312,591.1500244140625,582.6972045898438,125716700
2024-12-23,590.8900146484375,595.2999877929688,587.6599731445312,594.6900024414062,586.1866455078125,57635800
2024-12-24,596.0599975585938,601.3400268554688,595.469970703125,601.2999877929688,592.7020874023438,33160100
2024-12-26,599.5,602.47998046875,598.0800170898438,601.3400268554688,592.7415771484375,41219100
2024-12-27,597.5399780273438,597.780029296875,590.760009765625,595.010009765625,586.5020141601562,64969300
2024-12-30,587.8900146484375,591.739990234375,584.4099731445312,588.219970703125,579.80908203125,56578800
2024-12-31,589.9099731445312,590.6400146484375,584.4199829101562,586.0800170898438,577.6997680664062,57052700
2025-01-02,589.3900146484375,591.1300048828125,580.5,584.6400146484375,576.2803344726562,50204000
2025-01-03,587.530029296875,592.5999755859375,586.4299926757812,591.9500122070312,583.4857788085938,37888500
2025-01-06,596.27001953125,599.7000122070312,593.5999755859375,595.3599853515625,586.8469848632812,47679400
2025-01-07,597.4199829101562,597.75,586.780029296875,588.6300048828125,580.2133178710938,60393100
2025-01-08,588.7000122070312,590.5800170898438,585.2000122070312,589.489990234375,581.0609130859375,47304700
2025-01-10,585.8800048828125,585.9500122070312,578.5499877929688,580.489990234375,572.189697265625,73105000
2025-01-13,575.77001953125,581.75,575.3499755859375,581.3900146484375,573.0768432617188,47910100
2025-01-14,584.3599853515625,585.0,578.3499755859375,582.1900024414062,573.8654174804688,48420600
2025-01-15,590.3300170898438,593.9400024414062,589.2000122070312,592.780029296875,584.303955078125,56900200
2025-01-16,594.1699829101562,594.3499755859375,590.9299926757812,591.6400146484375,583.1802368164062,43319700
2025-01-17,596.9600219726562,599.3599853515625,595.6099853515625,597.5800170898438,589.0353393554688,58070600
